sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5472,140,Convolvulaceae,Convolvulaceae,,5489,Solanales,1
5473,140,Cuscutaceae,Cuscutaceae,,5489,Solanales,1
5474,140,Menyanthaceae,Menyanthaceae,,5505,Asterales,1
5475,140,Polemoniaceae,Polemoniaceae,,5507,Ericales,1
5476,140,Ephedraceae,Ephedraceae,,5512,Ephedrales,1
10996,140,Salviniaceae,Salviniaceae,,234339,Salviniales,1
16366,140,Magnoliaceae,Magnoliaceae,,16469,Magnoliales,1
16371,140,Cycadaceae,Cycadaceae,,16370,Cycadales,1
16372,140,Brunoniaceae,Brunoniaceae,,5477,Campanulales,1
16373,140,Goodeniaceae,Goodeniaceae,,5505,Asterales,1
16375,140,Sphenocleaceae,Sphenocleaceae,,5489,Solanales,1
16376,140,Pentaphragmataceae,Pentaphragmataceae,,5477,Campanulales,1
16377,140,Burmanniaceae,Burmanniaceae,,234427,Dioscoreales,1
16378,140,Corsiaceae,Corsiaceae,,5538,Liliales,1
16379,140,Geosiridaceae,Geosiridaceae,,5479,Orchidales,1
16380,140,Tropaeolaceae,Tropaeolaceae,,234480,Brassicales,1
16381,140,Balsaminaceae,Balsaminaceae,,5507,Ericales,1
16382,140,Limnanthaceae,Limnanthaceae,,234480,Brassicales,1
16383,140,Humiriaceae,Humiriaceae,,234486,Malpighiales,1
16384,140,Erythroxylaceae,Erythroxylaceae,,234486,Malpighiales,1
16385,140,Tremandraceae,Tremandraceae,,5482,Polygalales,1
16386,140,Xanthophyllaceae,Xanthophyllaceae,,5482,Polygalales,1
16387,140,Vochysiaceae,Vochysiaceae,,5520,Myrtales,1
16388,140,Trigoniaceae,Trigoniaceae,,234486,Malpighiales,1
16389,140,Begoniaceae,Begoniaceae,,234483,Cucurbitales,1
16390,140,Cochlospermaceae,Cochlospermaceae,,5543,Malvales,1
16391,140,Ancistrocladaceae,Ancistrocladaceae,,5483,Violales,1
16392,140,Dioncophyllaceae,Dioncophyllaceae,,5483,Violales,1
16393,140,Datiscaceae,Datiscaceae,,234483,Cucurbitales,1
16394,140,Scyphostegiaceae,Scyphostegiaceae,,5483,Violales,1
16395,140,Peridiscaceae,Peridiscaceae,,5483,Violales,1
16396,140,Caricaceae,Caricaceae,,234480,Brassicales,1
16397,140,Malesherbiaceae,Malesherbiaceae,,5483,Violales,1
16398,140,Frankeniaceae,Frankeniaceae,,5534,Caryophyllales,1
16399,140,Turneraceae,Turneraceae,,5483,Violales,1
16400,140,Achariaceae,Achariaceae,,234486,Malpighiales,1
16401,140,Cistaceae,Cistaceae,,5543,Malvales,1
16402,140,Flacourtiaceae,Flacourtiaceae,,5483,Violales,1
16403,140,Hoplestigmataceae,Hoplestigmataceae,,5483,Violales,1
16408,140,Podocarpaceae,Podocarpaceae,,5487,Pinales,1
16409,140,Taxodiaceae,Taxodiaceae,,5487,Pinales,1
16410,140,Araucariaceae,Araucariaceae,,5487,Pinales,1
16411,140,Cephalotaxaceae,Cephalotaxaceae,,5487,Pinales,1
16412,140,Hymenophyllaceae,Hymenophyllaceae,,234322,Hymenophyllales,1
16413,140,Cyatheaceae,Cyatheaceae,,234315,Cyatheales,1
16414,140,Schizaeaceae,Schizaeaceae,,234340,Schizaeales,1
16415,140,Grammitidaceae,Grammitidaceae,,5488,Polypodiales,1
16416,140,Ceratopteridaceae,Ceratopteridaceae,,5488,Polypodiales,1
16417,140,Lygodiaceae,Lygodiaceae,,234340,Schizaeales,1
16418,140,Davalliaceae,Davalliaceae,,5488,Polypodiales,1
16419,140,Anemiaceae,Anemiaceae,,234340,Schizaeales,1
16420,140,Parkeriaceae,Parkeriaceae,,5488,Polypodiales,1
16421,140,Gleicheniaceae,Gleicheniaceae,,234320,Gleicheniales,1
16422,140,Lophosoriaceae,Lophosoriaceae,,5488,Polypodiales,1
16423,140,Vittariaceae,Vittariaceae,,5488,Polypodiales,1
16424,140,Dicksoniaceae,Dicksoniaceae,,234315,Cyatheales,1
16425,140,Osmundaceae,Osmundaceae,,234334,Osmundales,1
16426,140,Moringaceae,Moringaceae,,234480,Brassicales,1
16427,140,Tovariaceae,Tovariaceae,,234480,Brassicales,1
16431,140,Loganiaceae,Loganiaceae,,5492,Gentianales,1
16433,140,Limnocharitaceae,Limnocharitaceae,,5499,Alismatales,1
16434,140,Butomaceae,Butomaceae,,5499,Alismatales,1
16435,140,Phrymaceae,Phrymaceae,,5500,Lamiales,1
16436,140,Pedaliaceae,Pedaliaceae,,5500,Lamiales,1
16437,140,Zosteraceae,Zosteraceae,,5499,Alismatales,1
16438,140,Posidoniaceae,Posidoniaceae,,5499,Alismatales,1
16439,140,Scheuchzeriaceae,Scheuchzeriaceae,,5499,Alismatales,1
16440,140,Aponogetonaceae,Aponogetonaceae,,5499,Alismatales,1
16441,140,Cymodoceaceae,Cymodoceaceae,,5499,Alismatales,1
16442,140,Azollaceae,Azollaceae,,5503,Hydropteridales,1
16444,140,Adoxaceae,Adoxaceae,,5504,Dipsacales,1
16448,140,Rapateaceae,Rapateaceae,,234442,Poales,1
16449,140,Mayacaceae,Mayacaceae,,234442,Poales,1
16450,140,Xyridaceae,Xyridaceae,,234442,Poales,1
16451,140,Clethraceae,Clethraceae,,5507,Ericales,1
16452,140,Epacridaceae,Epacridaceae,,5507,Ericales,1
16453,140,Empetraceae,Empetraceae,,5507,Ericales,1
16454,140,Cyrillaceae,Cyrillaceae,,5507,Ericales,1
16455,140,Thurniaceae,Thurniaceae,,234442,Poales,1
16456,140,Symplocaceae,Symplocaceae,,5507,Ericales,1
16457,140,Ebenaceae,Ebenaceae,,5507,Ericales,1
16458,140,Lissocarpaceae,Lissocarpaceae,,5510,Ebenales,1
16459,140,Styracaceae,Styracaceae,,5507,Ericales,1
16460,140,Theophrastaceae,Theophrastaceae,,5511,Primulales,1
16461,140,Myrsinaceae,Myrsinaceae,,5511,Primulales,1
16462,140,Zamiaceae,Zamiaceae,,16370,Cycadales,1
16472,140,Chloranthaceae,Chloranthaceae,,234400,Chloranthales,1
16473,140,Piperaceae,Piperaceae,,5513,Piperales,1
16474,140,Cabombaceae,Cabombaceae,,5515,Nymphaeales,1
16475,140,Nelumbonaceae,Nelumbonaceae,,16519,Proteales,1
16476,140,Lardizabalaceae,Lardizabalaceae,,5516,Ranunculales,1
16477,140,Coriariaceae,Coriariaceae,,234483,Cucurbitales,1
16478,140,Circaeasteraceae,Circaeasteraceae,,5516,Ranunculales,1
16479,140,Sabiaceae,Sabiaceae,,5516,Ranunculales,1
16480,140,Hydrostachyaceae,Hydrostachyaceae,,5518,Scrophulariales,1
16481,140,Globulariaceae,Globulariaceae,,5518,Scrophulariales,1
16482,140,Gesneriaceae,Gesneriaceae,,5500,Lamiales,1
16483,140,Myoporaceae,Myoporaceae,,5518,Scrophulariales,1
16484,140,Halorrhagidaceae,Halorrhagidaceae,,5519,Haloragales,1
16485,140,Theligonaceae,Theligonaceae,,5519,Haloragales,1
16486,140,Gunneraceae,Gunneraceae,,234448,Gunnerales,1
16487,140,Thymelaeaceae,Thymelaeaceae,,5543,Malvales,1
16488,140,Crypteroniaceae,Crypteroniaceae,,5520,Myrtales,1
