sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
127322,140,Lophiostomataceae,Lophiostomataceae,Sacc.,51682,Pleosporales,1
127325,140,Dothioraceae,Dothioraceae,Theiss. & H. Syd.,51666,Dothideales,1
127327,140,Coenogoniaceae,Coenogoniaceae,(Fr.) Stizenb.,51677,Ostropales,1
127328,140,Niessliaceae,Niessliaceae,Kirschst.,51670,Hypocreales,1
127329,140,Hyaloscyphaceae,Hyaloscyphaceae,Nannf.,127043,Helotiales,1
127331,140,Porinaceae,Porinaceae,Reichenb.,51677,Ostropales,1
127332,140,Megasporaceae,Megasporaceae,"Lumbsch, Feige & K. Schmitz",51680,Pertusariales,1
127346,140,Lecanoromycetes,Lecanoromycetes,,127138,Lecanoromycetes,1
127347,140,Lecanorales,Lecanorales,,51671,Lecanorales,1
127351,140,Megalariaceae,Megalariaceae,,51671,Lecanorales,1
127360,140,Aspidotheliaceae,Aspidotheliaceae,Rasenen ex J. C. David & D. Hawksw.,51658,Ascomycota,1
127367,140,Nectriaceae,Nectriaceae,Tul. & C. Tul.,51670,Hypocreales,1
127370,140,Gnomoniaceae,Gnomoniaceae,G. Winter,127369,Diaporthales,1
127392,140,Requienellaceae,Requienellaceae,Boise,51683,Pyrenulales,1
127393,140,Scoliciosporaceae,Scoliciosporaceae,Hafellner,51671,Lecanorales,1
127397,140,Mytilinidiaceae,Mytilinidiaceae,Kirschst.,127396,Mytilinidiales,1
127530,140,Malmideaceae,Malmideaceae,"Kalb, Rivas Plata & Lumbsch ",51671,Lecanorales,1
127660,140,Massalongiaceae,Massalongiaceae,"Wedin, P. M. Jørgensen & E. Wiklund",127304,Peltigerineae,1
128186,140,Elixiaceae,Elixiaceae,Lumbsch,127349,Umbilicariales,1
128270,140,Trichosphaeriaceae,Trichosphaeriaceae,G. Winter,128269,Trichosphaeriales,1
128329,140,Roccellographaceae,Roccellographaceae,Ertz & Tehler,51663,Arthoniales,1
148899,140,Gypsoplacaceae,Gypsoplacaceae,,51657,Fungi,1
150407,140,Lahmiaceae,Lahmiaceae,,51657,Fungi,1
186294,140,Tephromelataceae,Tephromelataceae,,51657,Fungi,1
194263,140,Acrospermaceae,Acrospermaceae,,51657,Fungi,1
194327,140,Agaricaceae,Agaricaceae,,51657,Fungi,1
194328,140,Agaricomycetes,Agaricomycetes,,51657,Fungi,1
194329,140,Agaricostilbaceae,Agaricostilbaceae,,51657,Fungi,1
194344,140,Aigialaceae,Aigialaceae,,51657,Fungi,1
194467,140,Amniculicolaceae,Amniculicolaceae,,51657,Fungi,1
194658,140,Amylocorticiaceae,Amylocorticiaceae,,51657,Fungi,1
194660,140,Amylostereaceae,Amylostereaceae,,51657,Fungi,1
194726,140,Annulatascaceae,Annulatascaceae,,51657,Fungi,1
194770,140,Aphanopsidaceae,Aphanopsidaceae,,51657,Fungi,1
194771,140,Aphelariaceae,Aphelariaceae,,51657,Fungi,1
194778,140,Apiosporaceae,Apiosporaceae,,51657,Fungi,1
194788,140,Aquamycetaceae,Aquamycetaceae,,51657,Fungi,1
194800,140,Arcyriaceae,Arcyriaceae,,51657,Fungi,1
194977,140,Arthrodermataceae,Arthrodermataceae,,51657,Fungi,1
195034,140,Ascobolaceae,Ascobolaceae,,51657,Fungi,1
195038,140,Ascodesmidaceae,Ascodesmidaceae,,51657,Fungi,1
195039,140,Ascodichaenaceae,Ascodichaenaceae,,51657,Fungi,1
195163,140,Asterinaceae,Asterinaceae,,51657,Fungi,1
195258,140,Auriculariaceae,Auriculariaceae,,51657,Fungi,1
195260,140,Auriscalpiaceae,Auriscalpiaceae,,51657,Fungi,1
195405,140,Bangiaceae,Bangiaceae,,51657,Fungi,1
196072,140,Boliniaceae,Boliniaceae,,51657,Fungi,1
196139,140,Botryobasidiaceae,Botryobasidiaceae,,51657,Fungi,1
196435,140,Bulgariaceae,Bulgariaceae,,51657,Fungi,1
196444,140,Byssolomataceae,Byssolomataceae,,51657,Fungi,1
196452,140,Cainiaceae,Cainiaceae,,51657,Fungi,1
197214,140,Caloscyphaceae,Caloscyphaceae,,51657,Fungi,1
197215,140,Calosphaeriaceae,Calosphaeriaceae,,51657,Fungi,1
197268,140,Cantharellaceae,Cantharellaceae,,51657,Fungi,1
197292,140,Catabotrydaceae,Catabotrydaceae,,51657,Fungi,1
197407,140,Caudosporidae,Caudosporidae,,51657,Fungi,1
197478,140,Ceratiomyxaceae,Ceratiomyxaceae,,51657,Fungi,1
197479,140,Ceratobasidiaceae,Ceratobasidiaceae,,51657,Fungi,1
197488,140,Ceratostomataceae,Ceratostomataceae,,51657,Fungi,1
197585,140,Chaetomiaceae,Chaetomiaceae,,51657,Fungi,1
197587,140,Chaetosphaerellaceae,Chaetosphaerellaceae,,51657,Fungi,1
197588,140,Chaetosphaeriaceae,Chaetosphaeriaceae,,51657,Fungi,1
197589,140,Chaetothyriaceae,Chaetothyriaceae,,51657,Fungi,1
197647,140,Choanephoraceae,Choanephoraceae,,51657,Fungi,1
197651,140,Chorioactidaceae,Chorioactidaceae,,51657,Fungi,1
197670,140,Chytridiaceae,Chytridiaceae,,51657,Fungi,1
198019,140,Clavicipitaceae,Clavicipitaceae,,51657,Fungi,1
198021,140,Clavulinaceae,Clavulinaceae,,51657,Fungi,1
198030,140,Clypeosphaeriaceae,Clypeosphaeriaceae,,51657,Fungi,1
198044,140,Coccodiniaceae,Coccodiniaceae,,51657,Fungi,1
198045,140,Coccoideaceae,Coccoideaceae,,51657,Fungi,1
198268,140,Coniochaetaceae,Coniochaetaceae,,51657,Fungi,1
198282,140,Coniophoraceae,Coniophoraceae,,51657,Fungi,1
198287,140,Cookellaceae,Cookellaceae,,51657,Fungi,1
198288,140,Cordycipitaceae,Cordycipitaceae,,51657,Fungi,1
199087,140,Cortinariaceae,Cortinariaceae,,51657,Fungi,1
199143,140,Coryneliaceae,Coryneliaceae,,51657,Fungi,1
199182,140,Cribrariaceae,Cribrariaceae,,51657,Fungi,1
199220,140,Cronartiaceae,Cronartiaceae,,51657,Fungi,1
199224,140,Cryphonectriaceae,Cryphonectriaceae,,51657,Fungi,1
199322,140,Cucurbitariaceae,Cucurbitariaceae,,51657,Fungi,1
199324,140,Cunninghamellaceae,Cunninghamellaceae,,51657,Fungi,1
199382,140,Cyanophyta,Cyanophyta,,51657,Fungi,1
199407,140,Cyphellaceae,Cyphellaceae,,51657,Fungi,1
199412,140,Cystostereaceae,Cystostereaceae,,51657,Fungi,1
199416,140,Dacrymycetaceae,Dacrymycetaceae,,51657,Fungi,1
199433,140,Davidiellaceae,Davidiellaceae,,51657,Fungi,1
199457,140,Dermateaceae,Dermateaceae,,51657,Fungi,1
199533,140,Diaporthaceae,Diaporthaceae,,51657,Fungi,1
199534,140,Diatrypaceae,Diatrypaceae,,51657,Fungi,1
199553,140,Dictydiaethaliaceae,Dictydiaethaliaceae,,51657,Fungi,1
199586,140,Didymiaceae,Didymiaceae,,51657,Fungi,1
199587,140,Didymosphaeriaceae,Didymosphaeriaceae,,51657,Fungi,1
199708,140,Discinaceae,Discinaceae,,51657,Fungi,1
199721,140,Doassansiaceae,Doassansiaceae,,51657,Fungi,1
199729,140,Dothideaceae,Dothideaceae,,51657,Fungi,1
199730,140,Dothidotthiaceae,Dothidotthiaceae,,51657,Fungi,1
199803,140,Echinodontiaceae,Echinodontiaceae,,51657,Fungi,1
199818,140,Elsinoaceae,Elsinoaceae,,51657,Fungi,1
199928,140,Endochytriaceae,Endochytriaceae,,51657,Fungi,1
199945,140,Englerulaceae,Englerulaceae,,51657,Fungi,1
199987,140,Entolomataceae,Entolomataceae,,51657,Fungi,1
200075,140,Erysiphaceae,Erysiphaceae,,51657,Fungi,1
200090,140,Euantennariaceae,Euantennariaceae,,51657,Fungi,1
200159,140,Fenestellaceae,Fenestellaceae,,51657,Fungi,1
200169,140,Fistulinaceae,Fistulinaceae,,51657,Fungi,1
200173,140,Fomitopsidaceae,Fomitopsidaceae,,51657,Fungi,1
200243,140,Ganodermataceae,Ganodermataceae,,51657,Fungi,1
200339,140,Geoglossaceae,Geoglossaceae,,51657,Fungi,1
200340,140,Geosiphonaceae,Geosiphonaceae,,51657,Fungi,1
200353,140,Globomycetaceae,Globomycetaceae,,51657,Fungi,1
200356,140,Gloeophyllaceae,Gloeophyllaceae,,51657,Fungi,1
200360,140,Glomeraceae,Glomeraceae,,51657,Fungi,1
200361,140,Glomerellaceae,Glomerellaceae,,51657,Fungi,1
200480,140,Gomphaceae,Gomphaceae,,51657,Fungi,1
200494,140,Gorgonomycetaceae,Gorgonomycetaceae,,51657,Fungi,1
200498,140,Grammotheleaceae,Grammotheleaceae,,51657,Fungi,1
200579,140,Graphiolaceae,Graphiolaceae,,51657,Fungi,1
200748,140,Graphostromataceae,Graphostromataceae,,51657,Fungi,1
201073,140,Halosphaeriaceae,Halosphaeriaceae,,51657,Fungi,1
201113,140,Helicobasidiaceae,Helicobasidiaceae,,51657,Fungi,1
201117,140,Helminthosphaeriaceae,Helminthosphaeriaceae,,51657,Fungi,1
201125,140,Helvellaceae,Helvellaceae,,51657,Fungi,1
201126,140,Hemiphacidiaceae,Hemiphacidiaceae,,51657,Fungi,1
201180,140,Hericiaceae,Hericiaceae,,51657,Fungi,1
201323,140,Hydnaceae,Hydnaceae,,51657,Fungi,1
201324,140,Hydnodontaceae,Hydnodontaceae,,51657,Fungi,1
201345,140,Hymenochaetaceae,Hymenochaetaceae,,51657,Fungi,1
201418,140,Hyponectriaceae,Hyponectriaceae,,51657,Fungi,1
201900,140,Inocybaceae,Inocybaceae,,51657,Fungi,1
202132,140,Lachnocladiaceae,Lachnocladiaceae,,51657,Fungi,1
202434,140,Lasiosphaeriaceae,Lasiosphaeriaceae,,51657,Fungi,1
204375,140,Leptopeltidaceae,Leptopeltidaceae,,51657,Fungi,1
