sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
51762,4,140,Umbilicariaceae,Umbilicariaceae,Chevall.,127349,Umbilicariales,1
51763,4,140,Vezdaeaceae,Vezdaeaceae,"Poelt & Vezda ex J. C. David & D. Hawksw.",127041,Leotiomycetes,1
51764,4,140,Baeomycetaceae,Baeomycetaceae,Dumort.,127291,Baeomycetales,1
51765,4,140,Leotiaceae,Leotiaceae,NULL,127041,Leotiomycetes,1
51766,4,140,Lichinaceae,Lichinaceae,Nyl.,51673,Lichinales,1
51767,4,140,Peltulaceae,Peltulaceae,Budel,51673,Lichinales,1
51768,4,140,Melanommataceae,Melanommataceae,"G. Winter",51682,Pleosporales,1
51769,4,140,Myxotrichaceae,Myxotrichaceae,Currah,127041,Leotiomycetes,1
51770,4,140,Opegraphaceae,Opegraphaceae,NULL,51663,Arthoniales,1
51771,4,140,Roccellaceae,Roccellaceae,Chevall.,51663,Arthoniales,1
51772,4,140,Odontotremataceae,Odontotremataceae,"D. Hawksw. & Sherwood",51677,Ostropales,1
51773,4,140,Solorinellaceae,Solorinellaceae,NULL,51677,Ostropales,1
51774,4,140,Stictidaceae,Stictidaceae,Fr.,51677,Ostropales,1
51775,4,140,Arthrorhaphidaceae,Arthrorhaphidaceae,"Poelt & Hafellner",127300,Ostropomycetidae,1
51776,4,140,Lobariaceae,Lobariaceae,Chevall.,127304,Peltigerineae,1
51777,4,140,Nephromataceae,Nephromataceae,"Wetm. ex J. C. David & D. Hawksw.",127304,Peltigerineae,1
51778,4,140,Peltigeraceae,Peltigeraceae,Dumort.,127304,Peltigerineae,1
51779,4,140,Placynthiaceae,Placynthiaceae,"A. E. Dahl",127303,Collematineae,1
51780,4,140,Coccotremataceae,Coccotremataceae,"Henssen ex J. C. David & D. Hawksw.",51680,Pertusariales,1
51781,4,140,Phyllachoraceae,Phyllachoraceae,"Theiss. & H. Syd.",51681,Phyllachorales,1
51782,4,140,Pleosporaceae,Pleosporaceae,Nitschke,51682,Pleosporales,1
51783,4,140,Pyrenotrichaceae,Pyrenotrichaceae,Zahlbr.,127136,Dothideomycetes,1
51784,4,140,Pyrenulaceae,Pyrenulaceae,Rabenh.,51683,Pyrenulales,1
51785,4,140,Trichotheliaceae,Trichotheliaceae,NULL,51683,Pyrenulales,1
51786,4,140,Trypetheliaceae,Trypetheliaceae,Zenker,127323,Trypetheliales,1
51787,4,140,Strigulaceae,Strigulaceae,Zahlbr.,127141,Chaetothyriomycetidae,1
51788,4,140,Fuscideaceae,Fuscideaceae,Hafellner,127350,"Lecanoromycetidae, families incertae sedis",1
51789,4,140,Teloschistaceae,Teloschistaceae,Zahlbr.,51685,Teloschistales,1
51790,4,140,Adelococcaceae,Adelococcaceae,Triebel,51686,Verrucariales,1
51791,4,140,Verrucariaceae,Verrucariaceae,Zenker,51686,Verrucariales,1
51792,4,140,Tricholomataceae,Tricholomataceae,NULL,51687,Agaricales,1
51793,4,140,Chionosphaeraceae,Chionosphaeraceae,NULL,51688,Atractiellales,1
51794,4,140,Clavariaceae,Clavariaceae,NULL,51689,Cantharellales,1
51795,4,140,Atheliaceae,Atheliaceae,NULL,51690,Stereales,1
51796,4,140,Corticiaceae,Corticiaceae,NULL,51690,Stereales,1
51797,4,140,Syzygosporaceae,Syzygosporaceae,NULL,51691,Tremellales,1
51798,4,140,Tremellaceae,Tremellaceae,Fr.,51691,Tremellales,1
51799,4,140,Platygloeaceae,Platygloeaceae,NULL,51692,Platygloeales,1
126179,4,140,Brigantiaeaceae,Brigantiaeaceae,NULL,51671,Lecanorales,1
126180,4,140,Calycidiaceae,Calycidiaceae,NULL,51671,Lecanorales,1
126182,4,140,Hysteriaceae,Hysteriaceae,NULL,126181,Hysteriales,1
126183,4,140,Icmadophilaceae,Icmadophilaceae,Triebel,51680,Pertusariales,1
126184,4,140,Miltideaceae,Miltideaceae,NULL,51671,Lecanorales,1
126185,4,140,Sarrameanaceae,Sarrameanaceae,Hafellner,127300,Ostropomycetidae,1
126186,4,140,Xanthopyreniaceae,Xanthopyreniaceae,Zahlbr.,51658,Ascomycota,1
126976,3,140,"Incertae sedis","Incertae sedis",NULL,51657,Fungi,1
127044,4,140,Helotiaceae,Helotiaceae,Rhem,127043,Helotiales,1
127114,4,140,Amphisphaeriaceae,Amphisphaeriaceae,"G. Winter",127113,Xylariales,1
127134,4,140,Gloeoheppiaceae,Gloeoheppiaceae,Henssen,51673,Lichinales,1
127135,4,140,Celotheliaceae,Celotheliaceae,"Leucking, Aptroot & Sipman",51683,Pyrenulales,1
127137,4,140,Bionectriaceae,Bionectriaceae,"Samuels & Rossman",51670,Hypocreales,1
127143,4,140,Herpotrichiellaceae,Herpotrichiellaceae,Munk,127142,Chaetothyriales,1
127277,4,140,Ochrolechiaceae,Ochrolechiaceae,"R. C. Harris ex Lumbsch & I. Schmitt",51680,Pertusariales,1
127287,4,140,Hygrophoraceae,Hygrophoraceae,Lotsy,51687,Agaricales,1
127293,4,140,Ropalosporaceae,Ropalosporaceae,Hafellner,127350,"Lecanoromycetidae, families incertae sedis",1
127306,4,140,Thelocarpaceae,Thelocarpaceae,Zukal,127305,Thelebolales,1
127307,4,140,Obryzaceae,Obryzaceae,Korb.,127111,Sordariomycetes,1
127308,4,140,Anamylopsoraceae,Anamylopsoraceae,"Lumbsch & Lunke",127291,Baeomycetales,1
127310,4,140,Botryosphaeriaceae,Botryosphaeriaceae,"Theiss. & H. Syd.",127309,Botryosphaeriales,1
127311,4,140,Epigloeaceae,Epigloeaceae,Zahlbr.,51658,Ascomycota,1
127312,4,140,Pseudoperisporiaceae,Pseudoperisporiaceae,Toro,127136,Dothideomycetes,1
127315,4,140,Nitschkiaceae,Nitschkiaceae,"(Fitzp.) Nannf.",127314,Hypocreomycetidae,1
127318,4,140,Microascaceae,Microascaceae,"Luttr. ex Malloch",127317,Microascales,1
127319,4,140,Naetrocymbaceae,Naetrocymbaceae,"Höhn. ex R. C. Harris",127136,Dothideomycetes,1
127320,4,140,Didymellaceae,Didymellaceae,"Gruyter, Aveskamp& Verkley",51682,Pleosporales,1
127321,4,140,Microthyriaceae,Microthyriaceae,Sacc.,127136,Dothideomycetes,1
127322,4,140,Lophiostomataceae,Lophiostomataceae,Sacc.,51682,Pleosporales,1
127325,4,140,Dothioraceae,Dothioraceae,"Theiss. & H. Syd.",51666,Dothideales,1
127327,4,140,Coenogoniaceae,Coenogoniaceae,"(Fr.) Stizenb.",51677,Ostropales,1
127328,4,140,Niessliaceae,Niessliaceae,Kirschst.,51670,Hypocreales,1
127329,4,140,Hyaloscyphaceae,Hyaloscyphaceae,Nannf.,127043,Helotiales,1
127331,4,140,Porinaceae,Porinaceae,Reichenb.,51677,Ostropales,1
127332,4,140,Megasporaceae,Megasporaceae,"Lumbsch, Feige & K. Schmitz",51680,Pertusariales,1
127346,4,140,"Lecanoromycetes, genera incertae sedis","Lecanoromycetes, genera incertae sedis",NULL,127138,Lecanoromycetes,1
127347,4,140,"Lecanorales, genera incertae sedis","Lecanorales,",NULL,51671,Lecanorales,1
127351,4,140,Megalariaceae,Megalariaceae,NULL,51671,Lecanorales,1
127360,4,140,Aspidotheliaceae,Aspidotheliaceae,"Rasenen ex J. C. David & D. Hawksw.",51658,Ascomycota,1
127367,4,140,Nectriaceae,Nectriaceae,"Tul. & C. Tul.",51670,Hypocreales,1
127370,4,140,Gnomoniaceae,Gnomoniaceae,"G. Winter",127369,Diaporthales,1
127392,4,140,Requienellaceae,Requienellaceae,Boise,51683,Pyrenulales,1
127393,4,140,Scoliciosporaceae,Scoliciosporaceae,Hafellner,51671,Lecanorales,1
127397,4,140,Mytilinidiaceae,Mytilinidiaceae,Kirschst.,127396,Mytilinidiales,1
127530,4,140,Malmideaceae,Malmideaceae,"Kalb, Rivas Plata & Lumbsch ",51671,Lecanorales,1
127660,4,140,Massalongiaceae,Massalongiaceae,"Wedin, P. M. Jørgensen & E. Wiklund",127304,Peltigerineae,1
128186,4,140,Elixiaceae,Elixiaceae,Lumbsch,127349,Umbilicariales,1
128270,4,140,Trichosphaeriaceae,Trichosphaeriaceae,"G. Winter",128269,Trichosphaeriales,1
