sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5486,3,100,Fabales,Fabales,NULL,234473,Fabids,1
5487,3,100,Pinales,Pinales,NULL,5564,Coniferophyta,1
5488,3,100,Polypodiales,Polypodiales,NULL,233657,Polypodiopsida,1
5489,3,100,Solanales,Solanales,NULL,234485,Lamiids,1
5490,3,100,Salicales,Salicales,NULL,5560,Dilleniidae,1
5491,3,100,Capparales,Capparales,NULL,5560,Dilleniidae,1
5492,3,100,Gentianales,Gentianales,NULL,234485,Lamiids,1
5493,3,100,Psilotales,Psilotales,NULL,16627,Psilotopsida,1
5494,3,100,Lycopodiales,Lycopodiales,NULL,5563,Lycopodiophyta,1
5495,3,100,Selaginellales,Selaginellales,NULL,5546,Lycopodiopsida,1
5496,3,100,Isoetales,Isoetales,NULL,5546,Lycopodiopsida,1
5497,3,100,Equisetales,Equisetales,NULL,5544,Equisetopsida,1
5498,3,100,Ophioglossales,Ophioglossales,NULL,5545,Filicopsida,1
5499,3,100,Alismatales,Alismatales,NULL,234393,Monocots,1
5500,3,100,Lamiales,Lamiales,NULL,234485,Lamiids,1
5501,3,100,Hydrocharitales,Hydrocharitales,NULL,5551,Alismatidae,1
5502,3,100,Najadales,Najadales,NULL,5551,Alismatidae,1
5503,3,100,Hydropteridales,Hydropteridales,NULL,5545,Filicopsida,1
5504,3,100,Dipsacales,Dipsacales,NULL,234481,Campanulids,1
5505,3,100,Asterales,Asterales,NULL,234481,Campanulids,1
5506,3,100,Commelinales,Commelinales,NULL,234434,Commelinids,1
5507,3,100,Ericales,Ericales,NULL,234458,Asterids,1
5508,3,100,Juncales,Juncales,NULL,5552,Commelinidae,1
5509,3,100,Cyperales,Cyperales,NULL,5552,Commelinidae,1
5510,3,100,Ebenales,Ebenales,NULL,5560,Dilleniidae,1
5511,3,100,Primulales,Primulales,NULL,5560,Dilleniidae,1
5512,3,100,Ephedrales,Ephedrales,NULL,5553,Gnetopsida,1
5513,3,100,Piperales,Piperales,NULL,234392,Magnoliids,1
5514,3,100,Aristolochiales,Aristolochiales,NULL,5554,Magnoliidae,1
5515,3,100,Nymphaeales,Nymphaeales,NULL,234309,Anita Grade clade 1,1
5516,3,100,Ranunculales,Ranunculales,NULL,234401,Eudicots,1
5517,3,100,Plantaginales,Plantaginales,NULL,5550,Asteridae,1
5518,3,100,Scrophulariales,Scrophulariales,NULL,5550,Asteridae,1
5519,3,100,Haloragales,Haloragales,NULL,5555,Rosidae,1
5520,3,100,Myrtales,Myrtales,NULL,234475,Malvids,1
5521,3,100,Papaverales,Papaverales,NULL,5554,Magnoliidae,1
5522,3,100,Cornales,Cornales,NULL,234458,Asterids,1
5523,3,100,Santalales,Santalales,NULL,234435,Core Eudicots,1
5524,3,100,Rafflesiales,Rafflesiales,NULL,5555,Rosidae,1
5525,3,100,Celastrales,Celastrales,NULL,234473,Fabids,1
5526,3,100,Polygonales,Polygonales,NULL,5557,Caryophyllidae,1
5527,3,100,Rosales,Rosales,NULL,234473,Fabids,1
5528,3,100,Hamamelidales,Hamamelidales,NULL,5556,Hamamelidae,1
5529,3,100,Urticales,Urticales,NULL,5556,Hamamelidae,1
5530,3,100,Juglandales,Juglandales,NULL,5556,Hamamelidae,1
5531,3,100,Fagales,Fagales,NULL,234473,Fabids,1
5532,3,100,Typhales,Typhales,NULL,5552,Commelinidae,1
5533,3,100,Bromeliales,Bromeliales,NULL,5549,Zingiberidae,1
5534,3,100,Caryophyllales,Caryophyllales,NULL,234435,Core Eudicots,1
5535,3,100,Arecales,Arecales,NULL,234434,Commelinids,1
5536,3,100,Euphorbiales,Euphorbiales,NULL,5555,Rosidae,1
5537,3,100,Arales,Arales,NULL,5558,Arecidae,1
5538,3,100,Liliales,Liliales,NULL,234393,Monocots,1
5539,3,100,Rhamnales,Rhamnales,NULL,5555,Rosidae,1
5540,3,100,Plumbaginales,Plumbaginales,NULL,5557,Caryophyllidae,1
5541,3,100,Theales,Theales,NULL,5560,Dilleniidae,1
5542,3,100,Sapindales,Sapindales,NULL,234475,Malvids,1
5543,3,100,Malvales,Malvales,NULL,234475,Malvids,1
16370,3,100,Cycadales,Cycadales,NULL,16368,Cycadophyta,1
16405,3,100,Marattiales,Marattiales,NULL,233265,Marattiopsida,1
16406,3,100,Taxales,Taxales,NULL,5547,Pinopsida,1
16407,3,100,Zingiberales,Zingiberales,NULL,234434,Commelinids,1
16429,3,100,Polemoniales,Polemoniales,NULL,5550,Asteridae,1
16430,3,100,Calycerales,Calycerales,NULL,5550,Asteridae,1
